id_alerta,llegada_min,prioridad,severidad,tiempo_estimado_min,sla_min
224,229,Alta,64,46,60
225,230,Alta,54,45,60
226,231,Alta,48,43,60
227,232,Critica,89,70,30
228,233,Alta,77,55,60
229,233,Critica,91,76,30
230,235,Alta,76,56,60
231,236,Media,42,33,120
232,236,Baja,13,17,240
233,239,Baja,24,19,240
234,240,Alta,48,40,60
235,240,Alta,72,52,60
236,241,Alta,58,42,60
237,242,Alta,48,40,60
238,242,Alta,54,44,60
239,244,Alta,63,47,60
240,245,Critica,92,76,30
241,245,Critica,88,73,30
242,247,Critica,84,68,30
243,248,Critica,80,66,30
244,249,Alta,69,51,60
245,250,Alta,51,45,60
246,250,Alta,76,51,60
247,250,Critica,87,74,30
248,251,Critica,86,69,30
249,252,Critica,86,74,30
250,253,Alta,76,54,60
251,253,Media,48,35,120
252,254,Media,31,23,120
253,256,Baja,24,18,240
254,256,Baja,11,16,240
255,258,Baja,20,18,240
256,258,Baja,20,15,240
257,258,Media,45,33,120
258,261,Alta,54,44,60
259,262,Critica,94,72,30
260,262,Critica,97,71,30
261,262,Alta,63,45,60
262,262,Alta,75,54,60
263,263,Alta,63,45,60
264,264,Alta,62,49,60
265,266,Alta,78,51,60
266,269,Alta,57,45,60
267,270,Critica,82,68,30
268,270,Alta,71,52,60
269,274,Baja,20,13,240
270,274,Baja,16,13,240
271,276,Baja,25,19,240
272,276,Baja,26,14,240
273,276,Baja,26,19,240
274,277,Media,47,33,120
275,278,Alta,47,39,60
276,280,Alta,54,44,60
277,280,Alta,55,46,60
278,280,Critica,82,71,30
279,282,Critica,80,65,30
280,285,Alta,62,48,60
281,288,Alta,54,42,60
282,288,Alta,56,42,60
283,289,Alta,77,51,60
284,290,Critica,86,72,30
285,291,Alta,54,48,60
286,292,Baja,26,19,240
287,293,Media,33,28,120
288,293,Media,39,28,120
289,294,Baja,13,15,240
290,294,Baja,24,20,240
291,295,Baja,14,14,240
292,296,Baja,19,17,240
293,297,Media,46,28,120
294,300,Alta,62,46,60
295,301,Alta,62,48,60
296,302,Alta,62,51,60
297,302,Alta,62,44,60
298,303,Critica,84,68,30
299,304,Alta,61,48,60
300,304,Alta,62,46,60
301,305,Critica,85,68,30
302,307,Critica,84,68,30
303,307,Alta,49,41,60
304,308,Alta,77,53,60
305,309,Critica,82,68,30
306,309,Alta,51,40,60
307,309,Alta,78,55,60
308,311,Baja,9,14,240
309,312,Baja,19,12,240
310,314,Baja,9,11,240
311,315,Media,48,36,120
312,317,Alta,56,43,60
313,317,Alta,47,40,60
314,318,Alta,46,39,60
315,320,Alta,61,49,60
316,320,Alta,61,50,60
317,324,Critica,80,72,30
318,324,Critica,94,73,30
319,324,Critica,91,69,30
320,324,Alta,50,45,60
321,326,Critica,85,73,30
322,327,Alta,78,50,60
323,327,Alta,77,54,60
324,328,Alta,49,41,60
325,328,Alta,49,41,60
326,328,Alta,76,51,60
327,330,Media,48,36,120
328,331,Baja,5,12,240
329,332,Baja,19,16,240
330,335,Media,49,36,120
331,336,Alta,58,48,60
332,336,Alta,46,42,60
333,337,Alta,45,44,60
334,337,Alta,46,43,60
335,338,Alta,61,49,60
336,341,Alta,61,44,60
337,341,Alta,61,50,60
338,342,Alta,61,48,60
339,343,Critica,94,73,30
340,343,Critica,93,75,30
341,344,Alta,75,48,60
342,346,Alta,53,47,60
343,347,Alta,75,54,60
344,347,Critica,94,76,30
345,347,Critica,90,72,30
346,347,Alta,76,51,60
347,348,Alta,47,42,60
348,349,Critica,91,71,30
349,349,Baja,17,12,240
350,350,Baja,24,20,240
351,351,Baja,20,15,240
352,351,Baja,27,21,240
353,352,Media,30,23,120
354,353,Baja,18,16,240
355,353,Baja,18,11,240
356,353,Baja,27,18,240
357,354,Baja,19,19,240
358,355,Alta,53,42,60
359,355,Alta,46,45,60
360,355,Alta,55,43,60
361,356,Alta,53,43,60
362,356,Alta,56,45,60
363,357,Alta,52,46,60
364,357,Critica,81,72,30
365,358,Alta,60,45,60
366,358,Alta,60,44,60
367,358,Critica,90,72,30
368,358,Critica,86,68,30
369,359,Alta,60,43,60
370,359,Critica,87,72,30
371,360,Alta,60,43,60
372,362,Critica,91,71,30
373,364,Critica,86,69,30
374,365,Critica,81,66,30
375,365,Alta,69,50,60
376,366,Alta,52,43,60
377,366,Critica,84,67,30
378,370,Baja,25,16,240
379,371,Media,50,36,120
380,371,Baja,29,18,240
381,373,Baja,28,20,240
382,373,Baja,14,14,240
383,374,Baja,28,16,240
384,376,Baja,17,14,240
385,376,Baja,25,17,240
386,377,Baja,17,14,240
387,377,Baja,17,17,240
388,378,Media,47,28,120
389,378,Alta,56,43,60
390,379,Alta,75,53,60
391,379,Alta,55,41,60
392,380,Alta,50,47,60
393,381,Critica,80,69,30
394,382,Critica,93,76,30
395,383,Alta,60,44,60
396,383,Critica,92,71,30
397,384,Alta,60,46,60
398,385,Alta,52,45,60
399,385,Alta,69,51,60
400,387,Critica,82,73,30
401,388,Critica,81,70,30
402,390,Critica,81,71,30
403,390,Critica,83,68,30
404,390,Alta,54,42,60
405,392,Media,42,34,120
406,395,Media,42,29,120
407,395,Baja,15,10,240
408,396,Baja,15,12,240
409,397,Baja,12,10,240
410,397,Baja,14,17,240
411,399,Alta,50,40,60
412,399,Alta,46,43,60
413,404,Critica,93,71,30
414,404,Alta,48,42,60
415,405,Alta,57,47,60
416,406,Critica,92,69,30
417,412,Media,48,33,120
418,414,Baja,15,13,240
419,414,Media,41,31,120
420,415,Baja,7,7,240
421,417,Critica,89,73,30
422,418,Alta,79,54,60
423,418,Alta,59,44,60
424,419,Alta,58,49,60
425,419,Alta,57,42,60
426,420,Alta,68,52,60
427,424,Baja,11,13,240
428,424,Media,35,26,120
429,424,Media,37,32,120
430,424,Baja,27,20,240
431,424,Baja,28,21,240
432,425,Media,40,26,120
433,425,Media,33,28,120
434,426,Media,31,23,120
435,426,Baja,27,17,240
436,427,Baja,28,22,240
437,427,Media,36,32,120
438,428,Baja,26,15,240
439,428,Media,45,32,120
440,430,Media,49,32,120
441,430,Media,49,30,120
442,431,Media,46,33,120
443,432,Baja,7,11,240
444,433,Media,38,25,120
445,439,Baja,29,15,240
446,440,Baja,26,19,240
447,441,Media,50,34,120
448,441,Media,40,29,120
449,441,Baja,28,22,240
450,443,Media,36,26,120
451,444,Media,46,31,120
452,449,Media,47,34,120
453,449,Baja,26,17,240
454,451,Media,37,28,120
455,452,Media,49,29,120
456,452,Media,40,27,120
457,452,Media,36,27,120
458,453,Media,41,26,120
459,454,Media,46,34,120
460,454,Baja,29,20,240
461,454,Media,36,25,120
462,454,Media,48,32,120
463,455,Media,35,31,120
464,455,Media,42,34,120
465,455,Media,33,27,120
466,456,Media,47,29,120
467,456,Media,49,32,120
468,456,Baja,28,22,240
469,458,Media,39,28,120
470,458,Media,40,28,120
471,458,Media,40,29,120
472,459,Media,34,25,120
473,462,Media,46,32,120
474,462,Media,34,28,120
475,463,Baja,27,21,240
476,464,Media,41,26,120
477,464,Baja,25,14,240
478,464,Media,30,23,120
479,464,Media,40,33,120
480,466,Baja,7,7,240
481,466,Media,49,36,120
482,466,Media,36,30,120
483,466,Media,41,31,120
484,466,Media,46,31,120
485,467,Media,47,33,120
486,468,Media,48,34,120
487,468,Baja,26,15,240
488,468,Baja,26,14,240
489,469,Media,31,30,120
490,469,Media,45,35,120
491,469,Media,50,36,120
492,470,Media,41,26,120
493,471,Baja,5,11,240
494,471,Baja,28,16,240
495,473,Media,39,30,120
496,475,Media,34,26,120
497,475,Baja,16,11,240
498,478,Media,35,27,120
499,479,Media,50,35,120
500,479,Media,47,34,120
